"","ensembl_gene_id","external_gene_name","transcript_biotype"
"239","ENSG00000276882","KIR3DL2","protein_coding"
"240","ENSG00000278728","CNTNAP2","protein_coding"
"241","ENSG00000281919","SLC45A2","protein_coding"
"242","ENSG00000276856","TUBGCP5","protein_coding"
"243","ENSG00000273772","SMN2","protein_coding"
"244","ENSG00000277069","RXFP3","protein_coding"
"245","ENSG00000281690","ADAMTS12","protein_coding"
"246","ENSG00000282152","DLGAP2","protein_coding"
"247","ENSG00000280759","AP2A2","protein_coding"
"248","ENSG00000276625","KIR2DL1","protein_coding"
"249","ENSG00000274639","KIR3DL3","protein_coding"
"250","ENSG00000276582","ABCB11","protein_coding"
"251","ENSG00000275306","KIR2DS1","protein_coding"
"252","ENSG00000278403","KIR3DL2","protein_coding"
"253","ENSG00000275317","KIR2DL4","protein_coding"
"254","ENSG00000278373","G6PC2","protein_coding"
"255","ENSG00000261846","AADACL2","protein_coding"
"256","ENSG00000276154","KIR2DS4","protein_coding"
"257","ENSG00000277909","SPC25","protein_coding"
"258","ENSG00000275031","METRNL","protein_coding"
"259","ENSG00000278856","KIR3DL1","protein_coding"
"260","ENSG00000278116","KIR2DL5A","protein_coding"
"261","ENSG00000274320","GOLGA6L9","protein_coding"
"262","ENSG00000275500","","protein_coding"
"263","ENSG00000262473","GART","protein_coding"
"264","ENSG00000276327","KIR2DS1","protein_coding"
"265","ENSG00000274296","DECR2","protein_coding"
"266","ENSG00000278759","TBCD","protein_coding"
"267","ENSG00000275326","NOSTRIN","protein_coding"
"268","ENSG00000278821","KIR2DL1","protein_coding"
"269","ENSG00000282755","","protein_coding"
"270","ENSG00000276910","GTF2H2","protein_coding"
"271","ENSG00000274042","GOLGA6L10","protein_coding"
"272","ENSG00000262911","DNAJC28","protein_coding"
"273","ENSG00000275049","","protein_coding"
"274","ENSG00000274166","GOLGA6L10","protein_coding"
"275","ENSG00000262795","IFNGR2","protein_coding"
"276","ENSG00000277657","KIR2DS3","protein_coding"
"277","ENSG00000275513","KIR3DL3","protein_coding"
"278","ENSG00000275737","KIR2DS2","protein_coding"
"279","ENSG00000278481","KIR2DL5B","protein_coding"
"280","ENSG00000277163","KIR2DS3","protein_coding"
"281","ENSG00000273831","LRRC56","protein_coding"
"282","ENSG00000278086","","protein_coding"
"283","ENSG00000277540","KIR2DL4","protein_coding"
"284","ENSG00000278361","KIR3DL2","protein_coding"
"285","ENSG00000274692","KIR2DL1","protein_coding"
"286","ENSG00000274438","KIR2DS2","protein_coding"
"287","ENSG00000263057","KRT20","protein_coding"
"288","ENSG00000274780","PHRF1","protein_coding"
"289","ENSG00000274404","GOLGA6L22","protein_coding"
"290","ENSG00000275062","KIR3DL3","protein_coding"
"291","ENSG00000275338","RAB11FIP3","protein_coding"
"292","ENSG00000262068","KRTAP3-1","protein_coding"
"293","ENSG00000277389","KRTAP5-6","protein_coding"
"294","ENSG00000263296","KRTAP3-2","protein_coding"
